normalized_feature,datasheet-axis-m3905-r-dome-camera-en-US-506723,h6-xp-dome-camera-datasheet,video-security-cd22-datasheet
the product provides 0 lux with ir illuminators on.,missing,missing,present
the product provides 0.009 lux @ f1.9 (color).,missing,missing,present
"the product provides 1. all our cameras record in ""adaptive quality,"" capturing both standard (sq) and high quality (hq) streams. sq video is stored up to the amount of retention specifi ed by.",missing,missing,present
"the product provides 1. all our cameras record in ""adaptive quality,"" capturing both standard and high quality streams. standard quality (sq) video is stored up to the amount of retention specified by.",missing,missing,present
the product provides 104.3mm.,missing,missing,present
the product provides 146.0mm / 5.75in.,missing,missing,present
"the product provides 2. lens distortion correction (ldc) crops the sensor fi eld of view to deliver a rectifi ed, undistorted output image.",missing,missing,present
"the product provides 2. thisproductincludessoftwaredevelopedbytheopensslprojectforuseintheopenssltoolkit.(openssl.org),andcryptographicsoftware.",present,missing,missing
the product provides 3. frame rate can be adjusted by support.,missing,missing,present
the product provides 4. extended temperature range includes operating temperatures below -10°c / 14°f and assumes ir will be enabled.,missing,missing,present
"the product provides 4. thisproductincludessoftwaredevelopedbytheopensslprojectforuseintheopenssltoolkit.(openssl.org),andcryptographicsoftware.",present,missing,missing
the product provides 4.11in.,missing,missing,present
the product provides 50%. zipstream also includes three intelligent.,present,missing,missing
"the product provides 62368-1, ik08 impact rating, fy2019 screw pack, mounting template.",missing,missing,present
the product provides acc-cam-shield-1 camera weather shield $79.,missing,missing,present
the product provides acc-mnt-angle-1 angle mount $149.,missing,missing,present
the product provides acc-mnt-arm-1 arm mount $99.,missing,missing,present
the product provides acc-mnt-cjbox-1 circle junction box mount $109.,missing,missing,present
the product provides acc-mnt-clip-1 tile clip mount $99.,missing,missing,present
the product provides acc-mnt-corner-1 corner mount $199.,missing,missing,present
the product provides acc-mnt-lbrac-1 l-bracket mount $129.,missing,missing,present
the product provides acc-mnt-pend-1 pendant cap mount $69.,missing,missing,present
the product provides acc-mnt-pole-1 pole mount $209.,missing,missing,present
the product provides acc-mnt-rec-2 recess ceiling mount $149.,missing,missing,present
the product provides accessories pricing.,missing,missing,present
the product provides additional hardware.,missing,missing,present
"the product provides alerts streaming and storage selectable storage location, low bandwidth.",missing,missing,present
"the product provides also keeping aesthetics top-of-mind. installation is simple and intuitive, and setup is easy to track with an led status.",missing,missing,present
the product provides and vehicle detection • led light status indicator.,missing,missing,present
the product provides aperture f1.6 minimum illumination.,missing,missing,present
the product provides archiving of footage.,missing,missing,present
the product provides audio not supported.,missing,missing,present
the product provides audio support: no.,missing,missing,present
the product provides audit log.,missing,missing,present
the product provides camera features.,missing,missing,present
"the product provides camera status, motion detection,.",missing,missing,present
the product provides camera: 608g / 21.45oz.,missing,missing,present
the product provides capacity: from 256gb to 768gb.,missing,missing,present
"the product provides card: microsd, sdxc.",missing,missing,present
the product provides cd22 indoor dome camera.,missing,missing,present
the product provides cd22 pricing.,missing,missing,present
the product provides cd22-256-hw 3mp fixed 10m / 33ft 256gb 30 days – $599.,missing,missing,present
the product provides cd22-512-hw 3mp fixed 10m / 33ft 512gb 60 days – $999.,missing,missing,present
"the product provides cd22-768-hw 3mp fixed 10m / 33ft 768gb 90 days – $1,399.",missing,missing,present
the product provides cd22.,missing,missing,present
the product provides certifi cations included accessories.,missing,missing,present
the product provides clear image quality hybrid cloud architecture.,missing,missing,present
"the product provides cloud backup, confi gurable retention days,.",missing,missing,present
"the product provides compression h.265, h.264 historical video settings adaptive quality1.",missing,missing,present
the product provides connection; 10 / 100 mbps.,missing,missing,present
"the product provides crowd detection, line-crossing.",missing,missing,present
"the product provides detection, loitering detection.",missing,missing,present
the product provides diagonal: 128° (91°).,missing,missing,present
the product provides dimensions.,missing,missing,present
the product provides dome series.,missing,missing,present
the product provides essential 3mp coverage for.,missing,missing,present
the product provides essential detection easy installation.,missing,missing,present
the product provides extended temperature range: n/a.,missing,missing,present
"the product provides fcc, ices, ce, ukca, rcm, cb,.",missing,missing,present
the product provides field of view (after ldc2) vertical: 71° (63°) cpu ambarella cv25s88.,missing,missing,present
the product provides focal length 2.8mm ir range 10m / 33ft.,missing,missing,present
"the product provides forensic wdr, it provides details even in challenging light conditions. with traffic light mode, it can distinguish the.",present,missing,missing
the product provides frame rate3 24fps live streaming settings.,missing,missing,present
the product provides general.,missing,missing,present
"the product provides high quality (hq): up to 3,000 kbps (default).",missing,missing,present
the product provides horizontal: 97° (78°).,missing,missing,present
the product provides https://docs.verkada.com/docs/adaptive-quality-recording-whitepaper.pdf.,missing,missing,present
the product provides humidity 0 to 90% warranty 5 years.,missing,missing,present
"the product provides image sensor 1 / 2.8"" progressive cmos shutter speed 1 / 30 sec. to 1 / 10,000 sec.",missing,missing,present
"the product provides image sensor and 10 meters / 33 feet of ir range, the cd22 offers reliable visibility for organizations seeking quick and.",missing,missing,present
the product provides indicator. the included mount plate additionally allows the camera to be mounted to a wall or ceiling without any.,missing,missing,present
"the product provides inj-poe-plus poe plus (802.3at type 2) injector, gige $129.",missing,missing,present
the product provides iris fixed onboard storage.,missing,missing,present
the product provides key features.,missing,missing,present
the product provides lens type fixed ir cut filter yes.,missing,missing,present
"the product provides less.itincludesaniothubthatprovidescompatibilitywithz-wavedevices,suchasbuttonsandsensors,.",missing,present,missing
"the product provides lic-cam-10y-cap 10-year camera license, capacity increase $1,999.",missing,missing,present
"the product provides lic-cam-10y-rnw 10-year camera license, renewal $1,999.",missing,missing,present
"the product provides lic-cam-1y-cap 1-year camera license, capacity increase $219.",missing,missing,present
"the product provides lic-cam-1y-rnw 1-year camera license, renewal $219.",missing,missing,present
"the product provides lic-cam-3y-cap 3-year camera license, capacity increase $599.",missing,missing,present
"the product provides lic-cam-3y-rnw 3-year camera license, renewal $599.",missing,missing,present
"the product provides lic-cam-5y-cap 5-year camera license, capacity increase $999.",missing,missing,present
"the product provides lic-cam-5y-rnw 5-year camera license, renewal $999.",missing,missing,present
"the product provides lic-vx-10y-cap 10-year viewing station license, capacity increase $3,999.",missing,missing,present
"the product provides lic-vx-10y-rnw 10-year viewing station license, renewal $3,999.",missing,missing,present
"the product provides lic-vx-1y-cap 1-year viewing station license, capacity increase $499.",missing,missing,present
"the product provides lic-vx-1y-rnw 1-year viewing station license, renewal $499.",missing,missing,present
"the product provides lic-vx-3y-cap 3-year viewing station license, capacity increase $1,299.",missing,missing,present
"the product provides lic-vx-3y-rnw 3-year viewing station license, renewal $1,299.",missing,missing,present
"the product provides lic-vx-5y-cap 5-year viewing station license, capacity increase $1,999.",missing,missing,present
"the product provides lic-vx-5y-rnw 5-year viewing station license, renewal $1,999.",missing,missing,present
"the product provides live links, live face blur, privacy regions,.",missing,missing,present
the product provides max concurrent streams: 2.,missing,missing,present
the product provides maximum people/.,missing,missing,present
the product provides mechanical.,missing,missing,present
"the product provides mode, timelapse, rtsp.",missing,missing,present
the product provides model number description cost (msrp) usd.,missing,missing,present
the product provides model number mp1 wdr lens ir range storage sq onboard vehicle (msrp) usd.,missing,missing,present
the product provides monitoring indoor environments.,missing,missing,present
the product provides mountplate: 140g / 4.94oz.,missing,missing,present
the product provides nan.,missing,missing,present
the product provides ndaa compliant.,missing,missing,present
the product provides onboard cost.,missing,missing,present
the product provides operating temperature -10°c to 50°c / 14°f to 122°f led indicator system power and status indicator.,missing,missing,present
the product provides ordering information.,missing,missing,present
the product provides overview.,missing,missing,present
"the product provides people analytics motion search, trajectory analysis sharing and privacy.",missing,missing,present
the product provides people and vehicles. the cd22 is optimized for covering spaces like storage closets and store aisles where supplemental.,missing,missing,present
"the product provides people detection, vehicle detection,.",missing,missing,present
the product provides power and network.,missing,missing,present
"the product provides power consumption4 without ir: 37-57v, 0.11-0.07a, 4.3w rtsp.",missing,missing,present
the product provides power input4 without ir: ieee 802.3af type 1 poe connectivity.,missing,missing,present
the product provides retention1 analytics.,missing,missing,present
the product provides rfc 2326.,missing,missing,present
the product provides rj-45 cable connector for network/poe.,missing,missing,present
the product provides rotation: 180°.,missing,missing,present
the product provides rtsp 1.0.,missing,missing,present
the product provides scalable deployments. the cd22 includes an onboard cv25s ambarella processor to detect and alert on the presence of.,missing,missing,present
the product provides sensor movement pan: 355°.,missing,missing,present
the product provides sensor resolution1 3mp (2048 x 1536) day/night ir-cut fi lter for day and night function.,missing,missing,present
the product provides software capabilities.,missing,missing,present
the product provides standard audio settings.,missing,missing,present
the product provides standard quality (sq): up to 600 kbps.,missing,missing,present
the product provides standard video settings.,missing,missing,present
the product provides tech specs.,missing,missing,present
the product provides the cd22 dome camera provides essential 3mp coverage in a variety of indoor spaces. with its 1 / 2.8” progressive cmos.,missing,missing,present
"the product provides the cd22’s sleek design and ik08 impact rating enable organizations to deploy a durable, tamper-resistant camera while.",missing,missing,present
"the product provides the customer. the amount of high quality video stored on the camera will depend on the amount of motion detected by the camera over time. to learn more, visit our website:.",missing,missing,present
"the product provides the customer. the amount of hq video stored on the camera will depend on the amount of motion detected by the camera over time. to learn more, visit our website:.",missing,missing,present
"the product provides the product provides (4:3)1280x960,800x600,640x480,512x384, (4:3)1920x1440,1600x1200,1280x960,800x600,640.",missing,present,missing
"the product provides the product provides (4:3)1984x1488*,1920x1440,1600x1200,1280 (4:3)2880x2160*,2560x1920,2304x1728,1920x1440,.",missing,present,missing
the product provides the product provides (4:3)35°–78° (4:3)11°–31°.,missing,present,missing
the product provides the product provides (dxh).,missing,present,missing
the product provides the product provides (h6xpdomecamera+cladp-1001).,missing,present,missing
the product provides the product provides (h6xpdomecamera+h6a-mt-npta1).,missing,present,missing
the product provides the product provides (h6xpdomecamera+h6a-mt-npta1+wlmt-1021).,missing,present,missing
the product provides the product provides (h6xpdomecamera+providedsurfacemount).,missing,present,missing
the product provides the product provides (highpower850nmleds) 25m(82ft)fullwide 40m(131ft)fullwide.,missing,present,missing
"the product provides the product provides (hxv)and (4:3)1984x1488 (4:3)2880x2160,2560x1920.",missing,present,missing
"the product provides the product provides (iec62676) (tripleexposure,20fpsorless).",missing,present,missing
the product provides the product provides (nas).,present,missing,missing
"the product provides the product provides (nts),x.509certificatepki,host-basedfirewall.",present,missing,missing
"the product provides the product provides (tee),axisdeviceid,securekeystore,signedvideo, storage conditions.",present,missing,missing
"the product provides the product provides (tripleexposure,20fpsorless).",missing,present,missing
the product provides the product provides *onlyavailableathalfframerateoftheprimarystream.,missing,present,missing
"the product provides the product provides 1. werecommendamaximumof3uniquevideostreamspercameraorchannel,foroptimizeduserexperience,networkbandwidth,andstorage.",present,missing,missing
the product provides the product provides 1/2.9”progressivescanrgbcmos 16:9:1920x1080to640x360.,present,missing,missing
the product provides the product provides 10.9-29 4.0 ✓ ✓ ✓ ✓ ✓ ✓ mm.,missing,present,missing
the product provides the product provides 10.9-29 8.0 ✓ ✓ ✓ ✓ ✓ ✓ mm.,missing,present,missing
the product provides the product provides 10.9-29.,missing,present,missing
"the product provides the product provides 1024mbram,512mbflash.",present,missing,missing
"the product provides the product provides 1analyticscapabilities,includingdetectionrange,mayvarybycameraline.pleaseconsulttheavigilonself-learningvideoanalyticsdesignguidefor.",missing,present,missing
the product provides the product provides 1maxframerateof60fpsisonlyachievablewithhighframeratemodeenabled.highframeratemodewilldisableanalytics.,missing,present,missing
the product provides the product provides 1separatelicenserequired.,missing,present,missing
"the product provides the product provides 2.8mm,f1.2:.",present,missing,missing
the product provides the product provides 2.8mmlens doridefinition distance.,present,missing,missing
the product provides the product provides 20250908-enrev2.,missing,present,missing
the product provides the product provides 241g(0.53lb).,present,missing,missing
the product provides the product provides 256bit).,present,missing,missing
the product provides the product provides 2irilluminationpowermaybereducedathigheroperatingtemperatures.,missing,present,missing
the product provides the product provides 2thedetectionrangeislimitedtoupto8metersinloudenvironments.,missing,present,missing
the product provides the product provides 3. fordetectionoftamperingattemptsinstaticandnon-crowdedscenes.,present,missing,missing
"the product provides the product provides 3.6mm,f2.0: frame rate.",present,missing,missing
"the product provides the product provides 3.6mm,f2.0:.",present,missing,missing
the product provides the product provides 3.6mmlens doridefinition distance.,present,missing,missing
"the product provides the product provides 368x264 x480,512x384,384x288,368x264.",missing,present,missing
"the product provides the product provides 384x216 288,384x216.",missing,present,missing
"the product provides the product provides 3diffserv,ftp,sftp,cifs/smb,smtp,mdns(bonjour), overlaytext.",present,missing,missing
the product provides the product provides 3testedmaximumcapacityis1.5tb.,missing,present,missing
the product provides the product provides 3thedetectionrangeisinfluencedbythequalityandpowerofthedeviceusedtocreatethepanicalarm.,missing,present,missing
the product provides the product provides 4.0c-h6xp-do1-ir-na 4.0 ✓ ✓ ✓ ✓ ✓ ✓.,missing,present,missing
the product provides the product provides 4.0c-h6xp-do2-ir-na 4.0 ✓ ✓ ✓ ✓ ✓ ✓.,missing,present,missing
the product provides the product provides 4.0mp 8.0mp(4kultrahd).,missing,present,missing
the product provides the product provides 4.4-9.3 4.0 ✓ ✓ ✓ ✓ ✓ ✓ mm.,missing,present,missing
the product provides the product provides 4.4-9.3 8.0 ✓ ✓ ✓ ✓ ✓ ✓ mm.,missing,present,missing
the product provides the product provides 4.4-9.3.,missing,present,missing
the product provides the product provides 4.4-9.3mm 10.9-29mm.,missing,present,missing
"the product provides the product provides 432,640x360,512x288 768x432,640x360,512x288.",missing,present,missing
the product provides the product provides 4:3:1280x960to320x240.,present,missing,missing
the product provides the product provides 4mp 8mp.,missing,present,missing
the product provides the product provides 4mp&8 mp.,missing,present,missing
the product provides the product provides 4mp.,missing,present,missing
the product provides the product provides 4onlyappliestothein-ceilingcameramodels.,missing,present,missing
"the product provides the product provides 5-yearwarranty,seeaxis.com/warranty.",present,missing,missing
the product provides the product provides 8.0c-h6xp-do1-ir-na 8.0 ✓ ✓ ✓ ✓ ✓ ✓.,missing,present,missing
the product provides the product provides 8.0c-h6xp-do2-ir-na 8.0 ✓ ✓ ✓ ✓ ✓ ✓.,missing,present,missing
the product provides the product provides 8mp (16:9)47°–109° (16:9)15°–42°.,missing,present,missing
the product provides the product provides 8mp withir:0luxinmonochromemode withir:0luxinmonochromemode.,missing,present,missing
the product provides the product provides 8mp.,missing,present,missing
"the product provides the product provides 90°,180°,270°includingcorridorformat,dynamic.",present,missing,missing
the product provides the product provides > 88°horizontalfieldofview.,present,missing,missing
"the product provides the product provides > compact,ruggeddesign.",present,missing,missing
the product provides the product provides > indoorcamera.,present,missing,missing
the product provides the product provides > lightfinderandforensicwdr.,present,missing,missing
the product provides the product provides > trafficlightmode.,present,missing,missing
the product provides the product provides [x.xx] inches.,missing,present,missing
the product provides the product provides a blur in challenging light conditions. the difference.,present,missing,missing
the product provides the product provides absolutemaximum 74°c(165°f)pernemats2(temp.)para2.2.7.2-2.2.7.7.,missing,present,missing
the product provides the product provides ac136-na-avo z-wavepanicbutton.,missing,present,missing
the product provides the product provides acap.,present,missing,missing
the product provides the product provides access control keys etc.) against malicious extraction in.,present,missing,missing
"the product provides the product provides accessoryonlydimensions n/a 219mmx115mm;8.62""x4.52"" 155mmx65mm;6.1""x2.55"".",missing,present,missing
the product provides the product provides accversion7.2orhigher allsupportedanalyticeventswithpeopleandvehiclesasclassifiedobjects.appearancesearchwhenpairedwith.,missing,present,missing
"the product provides the product provides address,storagefailure,systemready,withinoperating.",present,missing,missing
"the product provides the product provides adjustmentrange pan360°,azimuth349°,tilt92°.",missing,present,missing
"the product provides the product provides algorithms, which ensure that relevant forensic.",present,missing,missing
the product provides the product provides allconnectorssupportpoe.,present,missing,missing
the product provides the product provides allowingvideotobetracedbacktotheaxiscamerafrom.,present,missing,missing
the product provides the product provides amountoftime.,missing,present,missing
the product provides the product provides analytics specifications.,missing,present,missing
the product provides the product provides andaxiscameraapplicationplatform(acap);.,present,missing,missing
the product provides the product provides andencryptedfirmware.,missing,present,missing
the product provides the product provides andintegratewithexistingsystems.expandthecamera's crowdsorpeoplecrawlingnearyourperimeter.classifymore.,missing,present,missing
"the product provides the product provides andonvif®profilet,specificationatonvif.org axisvideomotiondetection,activetamperingalarm3.",present,missing,missing
the product provides the product provides applicationprogramming interface.,present,missing,missing
the product provides the product provides appropriateserverhardware.unusualactivitydetection.h.265supported.,missing,present,missing
the product provides the product provides approvals.,present,missing,missing
the product provides the product provides area.,missing,present,missing
the product provides the product provides aspectratio.,missing,present,missing
the product provides the product provides audioanalytics&recording dynamicprivacymasking.,missing,present,missing
"the product provides the product provides audiocompressionmethod g.711pcm8khz,opus.",missing,present,missing
the product provides the product provides audioinput/output linelevelinputandoutput.,missing,present,missing
"the product provides the product provides authentication,fips140-2l1(withoptionalcameralicense),onboardfips140-2l3certifiedtpm,secureboot,signed.",missing,present,missing
the product provides the product provides auxiliaryi/o.,missing,present,missing
the product provides the product provides availableataxis.com.,present,missing,missing
the product provides the product provides availableataxis.com/products/axis-m3905-r#part-.,present,missing,missing
the product provides the product provides availableataxis.com/vms.,present,missing,missing
the product provides the product provides avigilonsoftwaresupportedfeatures.,missing,present,missing
the product provides the product provides avigilonunityvideo8.0or allsupportedanalyticeventswithpeopleandvehiclesandallvehiclesub-typesasclassifiedobjects.appearance.,missing,present,missing
the product provides the product provides avigilonunityvideo8.4or alladvancedz-wavecompatibilityfeatures.,missing,present,missing
the product provides the product provides axis calculates the dori values using pixel densities for.,present,missing,missing
the product provides the product provides axis cameras with wide dynamic range (wdr).,present,missing,missing
the product provides the product provides axis edge vault is the hardware-based cybersecurity.,present,missing,missing
"the product provides the product provides axis edgevault color may be the critical factor to identify a person, an.",present,missing,missing
the product provides the product provides axis m3905-r dome camera.,present,missing,missing
"the product provides the product provides axis.com/cybersecurity lensm123.6mm,f2.0:horizontalfieldofview88°.",present,missing,missing
the product provides the product provides axis.com/environmental-responsibility.,present,missing,missing
the product provides the product provides axisabinvariousjurisdictions.allothertrademarksarethepropertyoftheirrespectiveowners.wereservetherightto.,present,missing,missing
"the product provides the product provides axiscamerastationpro,axiscamerastation5,and.",present,missing,missing
the product provides the product provides axiscommunicationsisasignatoryoftheunglobal.,present,missing,missing
"the product provides the product provides axisfenceguard,axisloiteringguard,axismotion.",present,missing,missing
the product provides the product provides axishardeningguide.,present,missing,missing
the product provides the product provides axism3905-rdomecamera.,present,missing,missing
the product provides the product provides axism3905-rm122.8mm h.264(mpeg-4part10/avc)mainandhighprofiles.,present,missing,missing
the product provides the product provides axism3905-rm123.6mm.,present,missing,missing
the product provides the product provides axism3905-rrj452.8mm videocompression.,present,missing,missing
the product provides the product provides axism3905-rrj453.6mm.,present,missing,missing
the product provides the product provides axisossoftwarebillofmaterial(sbom) optional accessories.,present,missing,missing
the product provides the product provides axissecuritydevelopmentmodel.,present,missing,missing
"the product provides the product provides axissitedesigner,axisdevicemanager,product.",present,missing,missing
"the product provides the product provides axist94d01smountbracket,.",present,missing,missing
the product provides the product provides axisvulnerabilitymanagementpolicy.,present,missing,missing
"the product provides the product provides axiszipstream,forensicwdr,lightfinder.",present,missing,missing
the product provides the product provides axiszipstreamtechnologyinh.264andh.265.,present,missing,missing
the product provides the product provides backlightcompensation adjustable.,missing,present,missing
"the product provides the product provides balance,forensicwdr,exposurecontrol,exposure.",present,missing,missing
the product provides the product provides bandwidth and storage requirements by an average of.,present,missing,missing
the product provides the product provides bandwidthmanagement hdsmsmartcodectechnology;idlescenemode.,missing,present,missing
the product provides the product provides behavior 25%powerifbelow-25°c(-13°f).,missing,present,missing
"the product provides the product provides belowoperatingtemperature,belowoperating.",present,missing,missing
the product provides the product provides between the darkest and the brightest spots can spell.,present,missing,missing
the product provides the product provides black 427c).,missing,present,missing
the product provides the product provides black.,missing,present,missing
